goos: linux
goarch: amd64
pkg: project/benchmark
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkAESASCONEncrypt/AES-GCM/16B         	85442740	        60.06 ns/op	 266.39 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/16B         	100000000	        60.73 ns/op	 263.46 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/16B         	100000000	        60.23 ns/op	 265.63 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/16B         	100000000	        58.84 ns/op	 271.92 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/16B         	100000000	        59.38 ns/op	 269.47 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/16B         	100000000	        59.75 ns/op	 267.77 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/16B         	100000000	        59.05 ns/op	 270.95 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/16B         	100000000	        59.25 ns/op	 270.02 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16B           	32495527	       189.3 ns/op	  84.51 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16B           	31171584	       196.3 ns/op	  81.51 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16B           	30087324	       189.9 ns/op	  84.27 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16B           	32158270	       190.3 ns/op	  84.07 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16B           	32591456	       190.5 ns/op	  84.00 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16B           	28922839	       191.8 ns/op	  83.44 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16B           	31859710	       195.6 ns/op	  81.82 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16B           	31481658	       191.4 ns/op	  83.61 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/64B         	69962874	        86.68 ns/op	 738.35 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/64B         	70134567	        87.12 ns/op	 734.59 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/64B         	70784466	        88.22 ns/op	 725.43 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/64B         	68078048	        89.07 ns/op	 718.53 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/64B         	68133087	        88.61 ns/op	 722.27 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/64B         	66002004	        89.59 ns/op	 714.35 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/64B         	64520700	        89.27 ns/op	 716.94 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/64B         	70999726	        88.38 ns/op	 724.17 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/64B           	15803398	       383.9 ns/op	 166.73 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/64B           	15757627	       387.3 ns/op	 165.24 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/64B           	16143646	       377.9 ns/op	 169.38 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/64B           	15521002	       381.7 ns/op	 167.66 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/64B           	16150316	       379.7 ns/op	 168.55 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/64B           	15785198	       389.8 ns/op	 164.19 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/64B           	15644781	       386.7 ns/op	 165.50 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/64B           	15918150	       381.2 ns/op	 167.87 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/256B        	72403818	        88.76 ns/op	2884.06 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/256B        	71549905	        88.39 ns/op	2896.18 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/256B        	67730559	        89.21 ns/op	2869.76 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/256B        	71205976	        87.15 ns/op	2937.31 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/256B        	71468966	        87.30 ns/op	2932.56 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/256B        	71376048	        87.11 ns/op	2938.65 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/256B        	68192547	        88.49 ns/op	2893.05 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/256B        	68623365	        87.99 ns/op	2909.39 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/256B          	 5126860	      1141 ns/op	 224.41 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/256B          	 5342199	      1164 ns/op	 219.87 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/256B          	 4986967	      1157 ns/op	 221.35 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/256B          	 5038318	      1190 ns/op	 215.06 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/256B          	 5205823	      1160 ns/op	 220.62 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/256B          	 5174234	      1153 ns/op	 221.97 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/256B          	 5302353	      1155 ns/op	 221.69 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/256B          	 5100652	      1181 ns/op	 216.71 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/1024B       	32869159	       192.0 ns/op	5332.81 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
