goos: linux
goarch: arm64
pkg: project/benchmark
BenchmarkEnvelopeSerialize/JSON/1Attrs-4         	  180049	     32591 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/1Attrs-4         	  183634	     32444 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/1Attrs-4         	  183120	     32397 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/1Attrs-4         	  183475	     32430 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/1Attrs-4         	  182472	     32412 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/1Attrs-4         	  183246	     32413 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/1Attrs-4         	  183398	     32487 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/1Attrs-4         	  181748	     32598 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/1Attrs-4         	  756232	      8068 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/1Attrs-4         	  702704	      7951 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/1Attrs-4         	  740994	      7932 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/1Attrs-4         	  726790	      7894 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/1Attrs-4         	  735103	      7942 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/1Attrs-4         	  733908	      7976 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/1Attrs-4         	  714702	      7970 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/1Attrs-4         	  737103	      7892 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/1Attrs-4 	  749197	      8008 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/1Attrs-4 	  701960	      8047 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/1Attrs-4 	  756573	      8058 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/1Attrs-4 	  714996	      8047 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/1Attrs-4 	  735031	      8001 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/1Attrs-4 	  757095	      8122 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/1Attrs-4 	  738613	      8052 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/1Attrs-4 	  738801	      8107 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/1Attrs-4       	   31617	    189144 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/1Attrs-4       	   31694	    189015 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/1Attrs-4       	   31706	    188978 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/1Attrs-4       	   31720	    188905 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/1Attrs-4       	   31698	    189038 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/1Attrs-4       	   31704	    189047 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/1Attrs-4       	   31713	    188972 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/1Attrs-4       	   31686	    189647 ns/op	      3598 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/1Attrs-4       	  558030	     10600 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/1Attrs-4       	  540615	     10549 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/1Attrs-4       	  533808	     10521 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/1Attrs-4       	  547324	     10564 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/1Attrs-4       	  551619	     10602 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/1Attrs-4       	  524557	     10600 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/1Attrs-4       	  557194	     10542 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/1Attrs-4       	  532812	     10517 ns/op	      2702 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/1Attrs-4         	  627955	      9364 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/1Attrs-4         	  624199	      9316 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/1Attrs-4         	  640074	      9296 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/1Attrs-4         	  628688	      9325 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/1Attrs-4         	  634852	      9361 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/1Attrs-4         	  621584	      9385 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/1Attrs-4         	  628204	      9351 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/1Attrs-4         	  633294	      9327 ns/op	      2671 envelope_bytes/op	      2660 raw_bytes/op	         0 throttled
PASS
goos: linux
goarch: arm64
pkg: project/benchmark
BenchmarkEnvelopeSerialize/JSON/2Attrs-4         	  162280	     35984 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/2Attrs-4         	  167316	     35878 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/2Attrs-4         	  166488	     35828 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/2Attrs-4         	  166668	     35878 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/2Attrs-4         	  163712	     35935 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/2Attrs-4         	  165978	     35817 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/2Attrs-4         	  165188	     35873 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/2Attrs-4         	  166452	     35917 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/2Attrs-4         	  712720	      8328 ns/op	      3055 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/2Attrs-4         	  699543	      8256 ns/op	      3055 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/2Attrs-4         	  708138	      8257 ns/op	      3055 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/2Attrs-4         	  714690	      8270 ns/op	      3055 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/2Attrs-4         	  723412	      8261 ns/op	      3055 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/2Attrs-4         	  698983	      8245 ns/op	      3055 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/2Attrs-4         	  706785	      8297 ns/op	      3055 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/2Attrs-4         	  711363	      8253 ns/op	      3055 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/2Attrs-4 	  727615	      8208 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/2Attrs-4 	  686650	      8177 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/2Attrs-4 	  710870	      8217 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/2Attrs-4 	  706050	      8185 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/2Attrs-4 	  710097	      8223 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/2Attrs-4 	  712443	      8203 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/2Attrs-4 	  737959	      8210 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/2Attrs-4 	  719798	      8196 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/2Attrs-4       	   28280	    211769 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/2Attrs-4       	   28290	    211667 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/2Attrs-4       	   28294	    211617 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/2Attrs-4       	   28324	    211616 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/2Attrs-4       	   28286	    211678 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/2Attrs-4       	   28251	    211724 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/2Attrs-4       	   28290	    211619 ns/op	      4070 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
